constraint_id,h1,epsilon,chi_analytical,signature,audit_max_tvd,audit_fires,corrected_tvd_analytical,corrected_fires,corrected_tvd_all_ctx,corrected_fires_all_ctx,corrected_worst_ctx,argmax_cl,argmax_idx_corrected
absorbing_markov_chains,0,0.12,0.165603,natural_law,0.110407,False,0.000000,False,0.000000,False,,mountain,mountain
abstraction_boundary_overrun,0,0.52,0.712364,false_natural_law,0.912275,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
academic_fashion_modernism_2026,0,0.58,0.79456,false_natural_law,0.841953,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
academic_peer_review_gatekeeping,0,0.58,0.79456,false_natural_law,0.579104,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
academic_tenure_system,0,0.58,0.79456,false_natural_law,0.339801,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
access_arbitrage,0,0.52,0.712364,false_natural_law,0.890077,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
acip_hep_b_infant_mandate,0,0.28,0.383581,false_natural_law,0.975256,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
ad_fus_coordination,0,0.38,0.520574,false_natural_law,0.827484,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
ad_synaptic_deficit,0,0.68,0.931553,false_natural_law,0.988071,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
adaptive_lag_trap,3,0.52,0.712364,false_ci_rope,0.487741,True,0.000658,False,0.024089,False,powerless,tangled_rope,tangled_rope
adversarial_surface_inflation,0,0.52,0.712364,false_natural_law,0.841506,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
adversarial_truth_decay,0,0.68,0.931553,false_natural_law,0.922636,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
advice_as_dangerous_gift,0,0.54,0.739763,false_natural_law,0.863984,False,0.000000,False,0.000000,False,,tangled_rope,tangled_rope
